Company,Fiscal year,Total Revenue,Net Income,Total Assets,Total Liabilities,Cash Flow from Operating Activities
TSLA,2024,97690,7153,122070,48390,14923
TSLA,2023,96773,14974,106618,43009,13256
TSLA,2022,81462,12587,82338,36440,14724
MSFT,2024,245122,88136,512163,243686,118548
MSFT,2023,211915,72361,411976,205753,87582
MSFT,2022,198270,72738,364840,198298,89035
AAPL,2024,391035,93736,364980,308030,110543
AAPL,2023,383285,96995,352583,290437,122151
AAPL,2022,394328,99803,352755,302083,104038
