Job_ID,Job_Title,Company,Location,Job_Description,Job_URL
1,Data Science Co-op,Honeywell,"Pittsford, NY","ROLE:Data Science Co-op.Work alongside experienced data scientists,contribute to projects that drive data-driven decision-making and provide valuable insights to support business growth and operational excellence.RESPONSIBILITIES:Collaborate with cross-functional teams to identify business challenges and opportunities where data science can provide valuable insights,Assist in developing and implementing advanced analytical models and methodologies to analyze complex data sets Support data visualization efforts to effectively communicate insights to stakeholders,Conduct data analysis and provide actionable recommendations based on data-driven insights,Stay updated with the latest trends and advancements in data science and identify opportunities to leverage new tools and technologies.QUALIFICATIONS: Currently pursuing a degree in Data Science, Computer Science, Statistics, or a related fieldStrong analytical and problem-solving skills.Familiarity with data analysis and visualization tools,Must graduate December 2025 or later,Must continue enrollment in degree program upon completion of the Co-op Validated academic excellence (3.0 GPA and higher).SKILLS:LLMs via APIs,Understanding of application of dense vector,text embedding models for finding semantic similarity,NoSQL,Vector Database,Graph construction,AWS,Azure,Python,Data visualization,matplotlib,plotly,Power BI,Infrastructure as code.",https://www.google.com/search?q=eyJqb2JfdGl0bGUiOiJEYXRhIFNjaWVuY2UgQ28tb3AiLCJjb21wYW55X25hbWUiOiJIb25leXdlbGwiLCJhZGRyZXNzX2NpdHkiOiJQaXR0c2ZvcmQsIE5ZIiwiaHRpZG9jaWQiOiJyS2dRb2d5VElhUU1KNzQ0QUFBQUFBPT0iLCJnbCI6InVzIiwiaGwiOiJlbiJ9
2,Intern - Data Science,Rakuten Advertising,"Buffalo, NY","ROLE:Data Scientists.RESPONSIBILITIES:implement the next generation of Machine Learning technology to take advantage of the hundreds of millions of data events we receive every day,suggest solutions to the problematics inherently linked to the online advertising ecosystem with a priority on affiliate advertising,willingness to understand inner-workings of the business to the use of the latest technologies on topics that range from forecasting to recommendation systems,anomaly detection to regression all with the purpose of solidifying Rakuten as a leader in online advertising,Explore both existing and latest Machine Learning and Deep Learning methods to build and improve our in-house models,Mine internal advertising datasets and perform practical statistical analysis to identify new relevant indicators and business trends,Collaborate for product requirements to maximize customer satisfaction with Software Engineers to deploy scalable/monitored models while maintaining a clean codebase,effectively communicate your analysis and findings through interactive visualizations,documents,presentations.QUALIFICATIONS:degree in progress.SKILLS:Machine Learning, Deep Learning,Python,SQL,mathematics,English,presentation,documentation.",https://www.google.com/search?q=eyJqb2JfdGl0bGUiOiJJbnRlcm4gLSBEYXRhIFNjaWVuY2UiLCJjb21wYW55X25hbWUiOiJSYWt1dGVuIEFkdmVydGlzaW5nIiwiYWRkcmVzc19jaXR5IjoiQnVmZmFsbywgTlkiLCJodGlkb2NpZCI6InRvZHo1Yk51bjM4cVcxRW5BQUFBQUE9PSIsImdsIjoidXMiLCJobCI6ImVuIn0=
3,Data Scientist Internship Opportunity,Ursa Space Systems Inc,"Ithaca, NY","ROLE:Enables us to detect real-time changes in the physical world network using satellite-based Synthetic Aperture Radar (SAR) sensors,combined with Electro-Optical (EO),Radio Frequency sensors (RF),various third-party data sources,extraction of information from satellite imagery and analytic results,without geographic,political,weather-related limitations.RESPONSIBILITIES:use satellite imagery and other sources of information to answer complex questions about the world.QUALIFICATIONS:None.SKILLS:None.",https://www.google.com/search?q=eyJqb2JfdGl0bGUiOiJEYXRhIFNjaWVudGlzdCBJbnRlcm5zaGlwIE9wcG9ydHVuaXR5IiwiY29tcGFueV9uYW1lIjoiVXJzYSBTcGFjZSBTeXN0ZW1zIEluYyIsImFkZHJlc3NfY2l0eSI6Ikl0aGFjYSwgTlkiLCJodGlkb2NpZCI6IkhWaWJ1UjV1SHlfaWhWTC1BQUFBQUE9PSIsImdsIjoidXMiLCJobCI6ImVuIn0=
4,2024 Summer Data Analytics/Data Science Intern,AVANGRID,"Rochester, NY","ROLE:Data Science Data Analytics intern.RESPONSIBILITIES:data analysis,data mining,reporting,continuous process improvement capabilities,envisioning,executing strategies,critical thinker,understand operational efficiency,organize,report,analyze large amounts of dataQUALIFICATIONS:Experienced,Sophomore,Junior, Bachelor,Masters Degree, ComputerScience,Management Information Systems (MIS),Business Analytics,Business and Technology,Data Science or relatable degree.SKILLS:MS excel,pivot tables, Database,Access,SQL,Tableau,comparable,data analytics tools.",https://www.google.com/search?q=eyJqb2JfdGl0bGUiOiIyMDI0IFN1bW1lciBEYXRhIEFuYWx5dGljcy9EYXRhIFNjaWVuY2UgSW50ZXJuIiwiY29tcGFueV9uYW1lIjoiQVZBTkdSSUQiLCJhZGRyZXNzX2NpdHkiOiJSb2NoZXN0ZXIsIE5ZIiwiaHRpZG9jaWQiOiJyY2l5T2xXazlmaGFOVjRhQUFBQUFBPT0iLCJnbCI6InVzIiwiaGwiOiJlbiJ9
5,Data Scientist Intern,Logitech,"Albany, NY","ROLE:Business Marketing Data Scientist intern.RESPONSIBILITIES: data analysis,serve insights with strategic implications,work with Machine Learning,Big Data technologies,build scalable machine learning data solutions for our marketing and sales team,work cross-functionally with internal and external stakeholders,identify insight requirements,apply creativity to test hypotheses,prepare data,build models,analyze,visualize results,integrate the solution into innovative ways to meet and optimize marketing ROI,Enhance the current customer model as additional data points become available through iterative improvements and Martech initiatives,Design and evaluate conversion lift experiments to optimize campaigns and measure their incremental impact,Expand market and sales model that drive personalization for customer engagement on owned and paid marketing channels by mapping out our buyers journey.QUALIFICATIONS: BA,MSc,Data Science,Business Analytics,Computer Science,Math, Statistics,Economics, quantitative fields,Masters.SKILLS:building marketing models,regression analysis,anomaly detection,NLP,machine learning modeling,decision tree, clustering,ensemble,boosting methods,feature selection,SQL,Python,pandas,numpy, scikit-learn,keras,R ,developing data pipelines,Python-based ETL framework,run workflows,analyse requirements,project roadmap to ensure consistent data availability,data quality,data accessibility,Conceive and implement the design of end-to-end scripted analytics solutions using SQL,modern analytical system,Snowflake,GitHub,AWS,Jupyter Notebooks.",https://www.google.com/search?q=eyJqb2JfdGl0bGUiOiJEYXRhIFNjaWVudGlzdCBJbnRlcm4iLCJjb21wYW55X25hbWUiOiJMb2dpdGVjaCIsImFkZHJlc3NfY2l0eSI6IkFsYmFueSwgTlkiLCJodGlkb2NpZCI6IlFYSTVubUo3UWNvczNMUmdBQUFBQUE9PSIsImdsIjoidXMiLCJobCI6ImVuIn0=
6,Data Science Intern,Endeavor Health Services,"Buffalo, NY","ROLE:Data Analyst Intern.RESPONSIBILITIES:collecting data,cleaning data,organizing,analyzing data,interpreting data,inform program improvement,collecting,cleaning data,Conducting preliminary data analysis,identify trends and patterns,Supporting  creation of data visualizations and dashboards,present findings,Collaborating to develop data-driven insights for program improvement,Maintaining data integrity and accuracy,perform regular checks and updates,Contributing to the preparation of reports and presentations for stakeholders,Assisting in developing and documenting data processes and methodologies,contributing to data strategy,supporting the implementation of data collection tools,Conducting research on best practices and innovations in data analysis for non-profits  requirements.QUALIFICATIONS:Bachelors,Masters,Data Science,Statistics,Computer Science,Economics or a related field.SKILLS:data analysi,statistical techniques,data visualization tools,Tableau, Power BI,Microsoft Excel,database management and querying languages,SQL.",https://www.google.com/search?q=eyJqb2JfdGl0bGUiOiJEYXRhIFNjaWVuY2UgSW50ZXJuIiwiY29tcGFueV9uYW1lIjoiRW5kZWF2b3IgSGVhbHRoIFNlcnZpY2VzIiwiYWRkcmVzc19jaXR5IjoiQnVmZmFsbywgTlkiLCJodGlkb2NpZCI6ImdRZW5DMS1BYkdvZmszbjNBQUFBQUE9PSIsImdsIjoidXMiLCJobCI6ImVuIn0=
7,Summer Internship in Data Science - Treasury Division,M&T Bank,"Buffalo, NY","ROLE:Quantitative Analytics Intern.RESPONSIBILITIES:implement quantitative analytics models,maintain complex statistical models,Collaborate with data scientists to design and implement machine learning algorithms,understand their needs,develop solutions.QUALIFICATIONS:None.SKILLS:None.",https://www.google.com/search?q=eyJqb2JfdGl0bGUiOiJTdW1tZXIgSW50ZXJuc2hpcCBpbiBEYXRhIFNjaWVuY2UgLSBUcmVhc3VyeSBEaXZpc2lvbiIsImNvbXBhbnlfbmFtZSI6Ik1cdTAwMjZUIEJhbmsiLCJhZGRyZXNzX2NpdHkiOiJCdWZmYWxvLCBOWSIsImh0aWRvY2lkIjoiTTNGWXFkUk5oYW5yOHdUWkFBQUFBQT09IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==
8,Data Science & Analytics- Intern,Carrier Corporation,"East Syracuse, NY","ROLE:Data Science & Analytics Intern.RESPONSIBILITIES:development and deployment of cloud-based analytic models,emphasizes innovation in data science,AI and ML technologies to ensure high-performance products and features,Gather requirements,translate into functional milestones to measure progress,Develop,test,validate,deploy cloud-based analytics workload,Evaluate analytic models for various use cases,deliver best KPI metrics,Tune,optimize data-driven models to provide best results and system performance, Design methods and criteria with which to test and validate analytic models,Visualize analytic results,Communicate analytic results.QUALIFICATIONS:Bachelor in Engineering,Data Analytics Engineering,Data Science.SKILLS: data science,data analytics,statistical analysis ,thermodynamics,thermal systems.",https://www.google.com/search?q=eyJqb2JfdGl0bGUiOiJEYXRhIFNjaWVuY2UgXHUwMDI2IEFuYWx5dGljcy0gSW50ZXJuIiwiY29tcGFueV9uYW1lIjoiQ2FycmllciBDb3Jwb3JhdGlvbiIsImFkZHJlc3NfY2l0eSI6IkVhc3QgU3lyYWN1c2UsIE5ZIiwiaHRpZG9jaWQiOiJ4LXRWcmpmZFUxOG1raUZRQUFBQUFBPT0iLCJnbCI6InVzIiwiaGwiOiJlbiJ9
9,Data Science Summer Internship 2026 - Now Hiring,Naval Nuclear Laboratory,Niskayuna,"ROLE: Data Science intern.RESPONSIBILITIES:researching and developing new technologies and concepts,designing and testing software,components or integrated systems,developing models and performing data analysis,supporting operations and developing process controls and procedures,working on deliverables that have a direct impact on the Navyal nuclear fleet.QUALIFICATIONS:Data Science,Computer Science,related engineering,BS,MS,PhD.SKILLS:data science.",https://www.google.com/search?q=eyJqb2JfdGl0bGUiOiJEYXRhIFNjaWVuY2UgU3VtbWVyIEludGVybnNoaXAgMjAyNiAtIE5vdyBIaXJpbmciLCJjb21wYW55X25hbWUiOiJOYXZhbCBOdWNsZWFyIExhYm9yYXRvcnkiLCJhZGRyZXNzX2NpdHkiOiJOaXNrYXl1bmEiLCJodGlkb2NpZCI6IktPcG9jYkllNXllRGUwbzNBQUFBQUE9PSIsImdsIjoidXMiLCJobCI6ImVuIn0=
10,"Standardized Operations & Analytics, Program Management Office Data Analytics Intern",Maximus,"Buffalo, NY","ROLE: Data Analytics Internship.RESPONSIBILITIES:Provide administrative support to project and operations management,researching,identifying,anticipating,and meetings needs of all departments,Perform routine administrative functions,including daily support of office administration,calendar management,meeting logistics,Assist in identifying new ways to improve data usage and business outcomes,Work on assignments that are moderately difficult and escalate issues to management,Assist with ad-hoc reporting, performing data analysis based upon planned versus historical or trending data. analyzing target metrics,present strategic planning.QUALIFICATIONS:Bachelors, preferred completion of relevant coursework in data science,data analysis,computational math,statistics,data visualization,information systems.SKILLS:None.",https://www.google.com/search?q=eyJqb2JfdGl0bGUiOiJTdGFuZGFyZGl6ZWQgT3BlcmF0aW9ucyBcdTAwMjYgQW5hbHl0aWNzLCBQcm9ncmFtIE1hbmFnZW1lbnQgT2ZmaWNlIERhdGEgQW5hbHl0aWNzIEludGVybiIsImNvbXBhbnlfbmFtZSI6Ik1heGltdXMiLCJhZGRyZXNzX2NpdHkiOiJCdWZmYWxvLCBOWSIsImh0aWRvY2lkIjoiem0wMjg1cDRjQmdrQmtoYkFBQUFBQT09IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==
